#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm
8160.949	10001	8163.193	10026	8169.091	10023	8196.673	9991.8	8193.174	10004	8199.364	10026
8191.214	10008	8193.381	10033	8199.284	10029	8226.911	10014	8223.454	10003	8229.569	10027
8221.471	10013	8223.555	10037	8229.487	10029	8257.2	10004	8253.721	10006	8259.778	10021
8251.736	10007	8253.766	10028	8259.714	10023	8287.435	10004	8283.94	10022	8289.986	10024
8282.017	10002	8283.989	10019	8289.92	10027	8317.752	9993.5	8314.191	10011	8320.173	10033
8312.284	10007	8314.215	10023	8320.113	10029	8347.99	10014	8344.469	10004	8350.384	10029
8342.542	10013	8344.422	10021	8350.316	10029	8378.279	10004	8374.708	10014	8380.588	10027
8372.825	10001	8374.664	10019	8380.543	10023	8408.561	10004	8404.949	10019	8410.791	10028
8403.107	10001	8404.898	10011	8410.761	10023	8438.832	10005	8435.183	10019	8440.988	10035
8433.376	10001	8435.163	10007	8440.955	10032	8469.071	10014	8465.38	10019	8471.194	10021
