#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm	7k0	rpm	8k0	rpm	9k0	rpm	10k0	rpm	11k0	rpm	12k0	rpm	13k0	rpm	14k0	rpm	15k0	rpm	16k0	rpm	20k0	rpm	25k0	rpm	30k0	rpm	35k0	rpm	40k0	rpm	45k0	rpm	50k0	rpm	55k0	rpm	60k0	rpm	65k0	rpm
1773.918	10145	1768.566	10166	1768.928	10177	1769.433	10188	1768.146	10154	1761.001	10190	1765.277	10143	1767.566	10196	1764.794	10169	1762.401	10194	1765.553	10206	1769.578	10195	1762.854	10192	1761.088	10180	1762.052	10204	1757.494	10214	1764.565	10188	1758.421	10210	1761.353	10237	1759.49	10265	1760.428	10264	1757.665	10257	1766.066	10251	1757.806	10254	1757.069	10260	1756.086	10290
1803.81	10129	1798.422	10142	1798.735	10159	1799.262	10157	1798.068	10122	1790.797	10162	1795.175	10127	1797.345	10167	1794.632	10148	1792.194	10163	1795.337	10166	1799.354	10169	1792.649	10162	1790.932	10151	1791.82	10171	1787.239	10179	1794.347	10167	1788.166	10179	1791.046	10200	1789.061	10244	1790.059	10222	1787.309	10208	1795.658	10232	1787.402	10231	1786.645	10238	1785.617	10254
1833.774	10105	1828.335	10122	1828.64	10125	1829.146	10131	1828.051	10101	1820.668	10137	1825.149	10101	1827.266	10119	1824.521	10124	1822.076	10132	1825.177	10147	1829.214	10140	1822.542	10133	1820.829	10127	1821.612	10163	1817.037	10162	1824.188	10146	1817.959	10163	1820.808	10173	1818.729	10206	1819.782	10191	1817.055	10178	1825.317	10209	1817.089	10199	1816.271	10220	1815.231	10219
1863.826	10076	1858.364	10086	1858.637	10088	1859.078	10115	1858.069	10086	1850.652	10098	1855.238	10062	1857.249	10102	1854.498	10099	1852.02	10111	1855.074	10128	1859.157	10112	1852.489	10110	1850.76	10115	1851.496	10132	1846.924	10131	1854.118	10116	1847.845	10125	1850.615	10158	1848.493	10174	1849.573	10164	1846.879	10152	1855.067	10177	1846.865	10169	1846.003	10183	1844.899	10206
1893.939	10055	1888.467	10058	1888.711	10073	1889.113	10081	1888.181	10055	1880.675	10085	1885.372	10047	1887.276	10083	1884.567	10069	1882.049	10083	1885.071	10099	1889.186	10083	1882.488	10093	1880.827	10070	1881.461	10104	1876.933	10089	1884.129	10082	1877.829	10102	1880.5	10132	1878.34	10148	1879.399	10151	1876.776	10127	1884.903	10148	1876.711	10145	1875.843	10147	1874.645	10179
1924.099	10038	1918.63	10039	1918.855	10041	1919.226	10055	1918.358	10033	1910.76	10064	1915.56	10029	1917.39	10054	1914.725	10039	1912.148	10059	1915.129	10078	1919.271	10064	1912.541	10074	1911.008	10037	1911.503	10073	1907.067	10052	1914.232	10058	1907.853	10084	1910.477	10100	1908.222	10133	1909.312	10121	1906.751	10100	1914.802	10127	1906.61	10127	1905.757	10122	1904.472	10151
1954.365	10001	1948.833	10024	1949.104	10009	1949.39	10037	1948.591	10014	1940.94	10038	1945.846	9997.9	1947.608	10019	1944.948	10017	1942.338	10028	1945.226	10060	1949.433	10038	1942.699	10040	1941.245	10013	1941.602	10060	1937.254	10032	1944.396	10032	1937.939	10064	1940.531	10074	1938.221	10093	1939.324	10083	1936.825	10067	1944.737	10109	1936.623	10093	1935.749	10095	1934.378	10124
1984.725	9972.8	1979.142	9985.4	1979.444	9979	1979.625	10012	1978.89	9993.2	1971.195	10008	1976.207	9972.5	1977.892	9999.3	1975.276	9982.4	1972.607	10003	1975.355	10049	1979.702	10004	1972.934	10014	1971.541	9994	1971.78	10032	1967.512	10012	1974.685	10002	1968.125	10029	1970.667	10047	1968.27	10072	1969.408	10063	1966.939	10055	1974.773	10080	1966.756	10048	1965.838	10062	1964.351	10102
2015.165	9945.7	2009.552	9955.8	2009.859	9953.4	2009.975	9979	2009.268	9960.8	2001.479	9999.3	2006.646	9940.4	2008.223	9982.4	2005.664	9962.3	2002.931	9984.1	2005.583	10016	2010.059	9972.8	2003.238	9996.6	2001.903	9965.8	2002.066	9998.9	1997.853	9979	2005.024	9978.5	1998.38	10008	2000.902	10014	1998.387	10052	1999.552	10046	1997.114	10034	2004.902	10049	1996.947	10029	1996.034	10026	1994.455	10063
2045.652	9930.2	2040.015	9937.9	2040.324	9936.5	2040.414	9945.2	2039.722	9938.6	2031.768	9994.2	2037.161	9915.1	2038.649	9948.7	2036.121	9943.6	2033.372	9948.7	2035.913	9982.6	2040.481	9945.7	2033.628	9963	2032.34	9940	2032.391	9984.1	2028.271	9952.9	2035.429	9956.5	2028.72	9979	2031.201	9993.3	2028.565	10033	2029.786	10014	2027.416	9998.9	2035.091	10029	2027.199	10009	2026.272	10013	2024.636	10037
